team,torvik_rank,torvik_rating,torvik_adjoe,torvik_adjde,torvik_wab,torvik_wab_rank
Abilene Christian,262,0.3035262,99.8329,107.3139,-10.923400000000001,234
Air Force,339,0.1290339,97.1346,114.7291,-19.0351,351
Akron,67,0.781567,118.553,106.1112,-0.759,59
Alabama,18,0.934718,129.63,102.861,6.71,10
Alabama A&M,296,0.2303296,105.3243,117.0312,-10.7229,229
Alabama St.,302,0.2226302,100.2323,111.7227,-15.6316,316
Albany,320,0.182332,103.4277,117.8328,-16.4324,324
Alcorn St.,346,0.1067346,97.4345,117.2314,-15.8319,319
American,245,0.3250245,105.3244,112.2237,-11.7249,249
Appalachian Saint vs. 228 Southern Miss,176,0.4826176,105.4241,106.111,-8.3177,177
Arizona,3,0.97733,125.811,90.72,11.13,3
Arizona State,58,0.810858,117.162,103.266,-1.163,63
Arkansas,20,0.93292,128.36,102.151,5.319,19
Arkansas Pine Bluff,287,0.2449287,104.3259,115.0295,-11.9252,252
Arkansas St.,149,0.5278149,109.9153,108.8174,-7.3151,151
Army,341,0.1226341,100.2322,118.9341,-17.3338,338
Auburn,42,0.866242,125.313,106.6119,0.2749,49
Austin Peay vs. 209 Queens,154,0.5247154,108.8172,107.9151,-4.498,98
Ball St.,279,0.2634279,99.3336,108.6168,-14.6298,298
Baylor,48,0.833148,122.032,106.1113,-1.872,72
Bellarmine,300,0.22673,115.182,128.1365,-14.3295,295
Belmont,73,0.754773,120.54,109.3184,-0.657,57
Bethune Cookman,216,0.3929216,104.4258,108.4165,-7.4154,154
Binghamton,358,0.0719358,98.6342,123.236,-20.4359,359
Boise State,52,0.818652,118.554,103.981,-1.77,70
Boston College,138,0.5552138,104.3259,102.356,-10.2221,221
Boston University,242,0.3324242,112.0115,119.0342,-13.0274,274
Bowling Green,153,0.5250153,106.2233,105.397,-8.8189,189
Bradley vs. 75 Northern Iowa,134,0.5787134,110.9135,107.915,-5.3112,112
Brigham Young,40,0.87424,124.716,105.399,3.425,25
Brown,286,0.2451286,97.9344,108.0155,-14.5296,296
Bryant,355,0.0793355,96.8348,119.8346,-17.0335,335
Bucknell,327,0.1606327,99.1339,114.4285,-18.2346,346
Buffalo,219,0.3857219,112.0114,116.631,-9.7214,214
Butler,72,0.756072,117.063,106.1111,-4.095,95
Cal Baptist,101,0.6777101,107.42,100.739,-2.881,81
Cal Poly,226,0.3698226,109.4161,114.629,-11.6248,248
Cal State Bakersfield,322,0.1708322,102.0299,117.0313,-17.3337,337
Cal State Fullerton,206,0.4227206,108.7174,111.6225,-8.9194,194
Cal State Northridge,157,0.5173157,108.6175,108.0153,-6.8143,143
California,66,0.784266,113.696,101.546,0.3745,45
Campbell vs. 223 Stony Brook,188,0.4447188,110.2148,112.4243,-10.3222,222
Canisius,345,0.1183345,95.8353,114.1283,-17.634,340
Central Arkansas vs. 237 Florida Gulf Coast,140,0.543714,110.3145,108.717,-5.7123,123
Central Connecticut,312,0.2093312,104.8255,117.6323,-9.4208,208
Central Florida,55,0.816755,121.933,107.1133,1.639,40
Central Michigan,248,0.3221248,106.5222,113.627,-15.4312,312
Charleston,168,0.4907168,107.3205,107.7143,-5.4115,115
Charleston Southern,253,0.3144253,105.0252,112.4241,-13.328,280
Charlotte,175,0.4836175,113.3104,114.0278,-9.4207,207
Chattanooga,314,0.2090314,105.524,118.4335,-15.3309,309
Chicago St.,343,0.1207343,99.9327,118.834,-19.1352,352
Cincinnati,27,0.899427,113.698,93.97,-1.264,64
Clemson,29,0.896629,115.775,95.915,2.334,34
Cleveland St.,316,0.2067316,110.015,123.6362,-16.9332,332
Coastal Carolina vs. 240 Georgia Southern,221,0.3802221,102.1298,106.612,-8.0171,171
Colgate,244,0.3254244,107.9184,115.0294,-9.1199,199
Colorado,76,0.751076,117.66,106.9127,-1.771,71
Colorado State,85,0.732385,119.546,109.5188,-2.075,75
Columbia,204,0.4237204,108.2181,111.1216,-7.7165,165
Connecticut,7,0.95747,124.617,95.011,9.04,4
Coppin St.,363,0.0454363,92.1363,120.0348,-19.2353,353
Cornell,165,0.5044165,118.752,118.6337,-7.8168,168
Creighton,84,0.734384,115.777,105.9108,-3.59,90
Dartmouth,260,0.307826,104.9253,112.5249,-10.6228,228
Davidson,97,0.685697,111.51220000000001,104.283,-5.4114,114
Dayton,77,0.750677,111.1131,100.941,-1.669,69
DePaul,93,0.697593,107.8189,100.234,-3.893,93
Delaware,254,0.3116254,107.0214,114.6289,-15.2305,305
Delaware St.,362,0.0475362,88.8365,115.2297,-18.7349,349
Denver,231,0.3501231,114.984,121.3353,-10.8232,232
Detroit Mercy,194,0.4382194,109.8154,112.2236,-9.1198,198
Drake vs. 108 Illinois Chicago,208,0.4190208,110.4143,113.6269,-12.827,270
Drexel vs. 284 Northeastern,198,0.4285198,102.6288,105.395,-11.0238,238
Duke,1,0.98281,128.65,90.41,11.62,2
Duquesne,119,0.6134119,110.514,106.2115,-7.1149,149
East Carolina,268,0.2934268,103.1283,111.322,-13.1276,276
East Tennessee Saint vs. 347 The Citadel,173,0.4874173,108.5176,109.018,-6.6139,139
East Texas A&M,291,0.2371291,100.6319,111.4223,-14.9301,301
Eastern Illinois,331,0.1516331,96.8347,112.5247,-15.2307,307
Eastern Kentucky,298,0.2278298,108.917,121.1352,-16.5326,326
Eastern Michigan,236,0.3406236,101.8305,107.8149,-14.6299,299
Eastern Washington,144,0.5336144,113.51,112.2234,-11.5243,243
Elon vs. 143 William & Mary,255,0.3102255,109.3164,117.2315,-12.326,260
Evansville,303,0.2206303,102.5293,114.4286,-17.6343,343
FIU,186,0.4495186,107.1212,109.0178,-10.6227,227
Fairfield,247,0.3221247,106.0235,113.126,-9.0197,197
Fairleigh Dickinson,338,0.1305338,100.7317,118.8339,-16.733,330
Florida,4,0.97554,126.68,91.94,7.56,6
Florida A&M,290,0.237529,99.7331,110.3205,-10.9236,236
Florida Atlantic,118,0.6176118,110.2149,105.7103,-7.1147,147
Florida Gulf Coast vs. 140 Central Arkansas,237,0.3387237,106.0236,112.3238,-12.5264,264
Florida State,63,0.793563,117.064,104.182,-2.377,77
Fordham,178,0.4719178,104.3259,105.31,-8.8191,191
Fresno State,124,0.6012124,107.6196,103.879,-9.1201,201
Furman vs. 233 Samford,202,0.4264202,105.8238,108.5167,-8.9195,195
Gardner Webb,361,0.0555361,95.6356,122.3356,-23.1363,363
George Mason,132,0.5868132,110.6138,107.3138,-2.578,78
George Washington,74,0.752074,118.555,107.6142,-6.4136,136
Georgetown,83,0.741083,114.886,104.888,-5.7122,122
Georgia,35,0.886535,124.914,104.586,2.829,31
Georgia Southern vs. 221 Coastal Carolina,240,0.333424,109.6158,116.4308,-11.4241,241
Georgia St.,315,0.2077315,99.833,112.1233,-17.6341,341
Georgia Tech,169,0.4893169,106.423,106.8124,-9.3205,205
Gonzaga,13,0.943513,120.539,94.49,6.512,13
Grambling St.,305,0.2188305,96.635,107.9152,-14.0289,289
Grand Canyon,59,0.810059,110.5141,97.42,-2.579,79
Green Bay,171,0.4880171,113.1105,113.5268,-8.8187,187
Hampton vs. 203 Towson,301,0.2263301,101.0313,112.4242,-13.7284,284
Harvard,161,0.5139161,106.7219,106.2114,-6.7141,141
Hawaii,114,0.6439114,107.6195,102.254,-3.182,82
High Point vs. 263 UNC Asheville,92,0.701992,116.568,108.216,-1.668,68
Hofstra,98,0.684998,112.611,105.294,-5.0106,106
Holy Cross,332,0.1411332,100.8315,118.0331,-18.1345,345
Houston,5,0.97145,126.01,92.75,7.47,7
Houston Christian,308,0.2148308,102.5294,114.7292,-14.129,290
Howard,197,0.4295197,104.0262,106.6121,-6.8144,144
IU Indy,288,0.2423288,106.5223,117.6322,-20.0357,357
Idaho Saint vs. 311 Northern Arizona,270,0.288427,108.9171,117.8327,-13.3279,279
Idaho vs. 259 Sacramento St.,160,0.514816,109.416,108.9175,-9.3206,206
Illinois,6,0.97086,132.51,97.722,6.611,11
Illinois Chicago vs. 208 Drake,108,0.6569108,109.1168,103.165,-8.0173,173
Illinois St.,112,0.6518112,109.6159,103.778,-5.8125,125
Incarnate Word,275,0.2758275,108.4178,117.9329,-13.7283,283
Indiana,28,0.898528,123.025,101.847,0.3447,47
Indiana St.,205,0.4230205,106.3232,109.2182,-14.73,300
Iona,246,0.3246246,103.8266,110.721,-10.4225,225
Iowa,24,0.910024,122.529,100.233,2.135,35
Iowa State,9,0.95239,123.026,94.81,6.114,14
Jackson St.,336,0.1343336,101.7306,119.5344,-13.1275,275
Jacksonville,283,0.2492283,103.5274,113.9277,-14.9302,302
Jacksonville State,190,0.442919,106.5225,108.6169,-12.1255,255
James Madison,212,0.4125212,109.3166,112.725,-10.4224,224
Kansas,15,0.936715,118.949,94.08,5.815,15
Kansas State,103,0.6740103,111.7121,104.889,-6.0129,129
Kennesaw State,162,0.5069162,110.0151,109.7193,-7.6164,164
Kent St.,164,0.5063164,110.9134,110.7209,-3.387,87
Kentucky,33,0.889133,120.541,100.638,2.831,29
LIU,234,0.3444234,103.9264,109.9196,-5.8124,124
La Salle,201,0.4275201,105.125,107.8146,-13.2278,278
Lafayette,323,0.1701323,100.632,115.5301,-17.0334,334
Lamar,249,0.3203249,103.1282,110.12,-14.1291,291
Le Moyne,313,0.2092313,100.9314,113.3262,-13.7285,285
Lehigh,294,0.2328294,102.5291,113.7273,-12.1257,257
Liberty,117,0.6184117,117.759,112.8254,-1.466,66
Lindenwood,269,0.2886269,100.5321,108.8171,-11.0239,239
Lipscomb,232,0.3482232,105.3245,111.2218,-7.7166,166
Little Rock,324,0.1651324,101.5308,116.8311,-16.4323,323
Long Beach State,258,0.3086258,103.8269,111.3219,-16.0321,321
Longwood,271,0.2860271,103.2281,111.8229,-12.7268,268
Louisiana,285,0.2462285,101.8303,112.2235,-17.1336,336
Louisiana Monroe,349,0.1002349,101.1312,122.3357,-23.1364,364
Louisiana St,71,0.766671,118.85,107.1135,-3.386,86
Louisiana Tech,227,0.3675227,101.6307,106.5118,-8.819,190
Louisville,14,0.939714,124.321,97.924,3.326,27
Loyola Chicago,289,0.2414289,103.328,114.1282,-15.6317,317
Loyola MD,326,0.1632326,103.7271,119.5343,-16.8331,331
Loyola Marymount,152,0.5252152,106.7217,105.8107,-10.0219,219
Maine,350,0.097735,92.7362,112.5246,-19.6355,355
Manhattan,334,0.1378334,103.8267,121.8355,-16.2322,322
Marist vs. 217 Quinnipiac,199,0.4276199,99.9328,102.558,-8.4183,183
Marquette,81,0.743281,111.9117,102.05,-7.5156,156
Marshall,207,0.4194207,112.8109,116.0305,-7.6163,163
Maryland,131,0.5887131,110.6137,107.2136,-5.1108,108
Maryland Eastern Shore,356,0.0739356,93.036,115.9304,-16.6329,329
Massachusetts,177,0.4823177,110.3146,110.9214,-10.9235,235
McNeese St.,82,0.742482,113.4102,103.57,0.3048,48
Memphis,123,0.6030123,107.4199,103.676,-9.12,200
Mercer vs. 224 Western Carolina,200,0.42762,111.5124,114.3284,-7.5159,159
Mercyhurst,282,0.2565282,101.9301,111.7228,-12.3261,261
Merrimack,155,0.5189155,107.719,107.0128,-5.5117,117
Miami FL,36,0.886236,119.843,100.336,3.724,24
Miami OH,86,0.729586,116.767,107.0131,3.327,26
Michigan,2,0.98202,128.84,91.03,12.21,1
Michigan St.,12,0.945312,121.934,95.112,7.95,5
Middle Tennessee,151,0.5261151,109.8155,108.8173,-8.1176,176
Milwaukee,274,0.2790274,106.1234,115.2299,-13.5282,282
Minnesota,57,0.811757,115.874,101.949,-3.488,88
Mississippi,78,0.749878,114.885,104.485,-5.0107,107
Mississippi State,99,0.683999,113.0107,105.7104,-4.61,99
Mississippi Valley St.,364,0.0388364,91.3364,120.7351,-23.9365,365
Missouri,45,0.854145,120.342,103.268,2.036,36
Missouri State,185,0.4532185,109.3165,111.1217,-11.4242,242
Monmouth,180,0.467618,106.622,107.8147,-9.5209,209
Montana,174,0.4848174,106.4229,107.0129,-9.5211,211
Montana St.,128,0.5935128,110.8136,107.2137,-7.4152,152
Morehead Saint vs. 225 Tennessee St.,278,0.2648278,107.4203,117.3318,-8.1174,174
Morgan St.,352,0.0909352,99.5334,121.5354,-12.1256,256
Mount Saint Marys vs. 211 Siena,276,0.2736276,99.5333,108.3164,-11.6247,247
Murray St.,135,0.5775135,115.579,112.4244,-5.4113,113
N.C. State,38,0.884238,123.027,103.064,1.043,44
NJIT,321,0.1752321,98.8341,113.1261,-11.5246,246
Navy,142,0.5416142,106.5226,104.991,-3.285,85
Nebraska,17,0.935217,118.256,93.76,7.18,8
Nebraska Omaha vs. 116 North Dakota St.,229,0.3583229,107.3204,112.9256,-11.5244,244
Nevada,79,0.745979,115.38,105.092,-2.074,74
Nevada Las Vegas,113,0.6506113,116.271,110.1202,-5.9128,128
New Hampshire,348,0.1024348,95.6355,115.5302,-15.5315,315
New Haven,330,0.152733,96.1352,111.6224,-13.1277,277
New Mexico,49,0.825749,115.678,101.042,0.255,50
New Mexico State,191,0.4415191,109.4162,111.6226,-10.8233,233
New Orleans,187,0.4484187,109.4163,111.4222,-9.7213,213
Niagara,333,0.1380333,100.1324,117.4319,-18.3348,348
Nicholls St.,250,0.320025,105.4242,112.5248,-12.0254,254
Norfolk St.,329,0.1528329,101.4309,117.7325,-12.4262,262
North Alabama,340,0.127134,100.0325,118.3334,-17.0333,333
North Carolina,25,0.907625,122.33,100.235,5.518,17
North Carolina A&T,306,0.2161306,104.8254,117.3317,-15.1304,304
North Carolina Central,353,0.0840353,100.0326,123.1359,-12.2258,258
North Dakota Saint vs. 229 Nebraska Omaha,116,0.6186116,112.4112,107.8148,-3.489,89
North Dakota vs. 107 Saint Thomas,272,0.2844272,107.6194,116.6309,-10.8231,231
North Florida,328,0.1564328,107.3206,124.2363,-19.035,350
North Texas,146,0.5317146,103.4278,102.255,-6.9145,145
Northeastern vs. 198 Drexel,284,0.2482284,107.3207,118.1333,-18.2347,347
Northern Arizona vs. 270 Idaho St.,311,0.2099311,106.7215,119.8347,-15.8318,318
Northern Colorado,136,0.5761136,111.9119,108.9177,-6.2132,132
Northern Illinois,342,0.1225342,95.8354,113.7273,-15.5314,314
Northern Iowa vs. 134 Bradley,75,0.751975,107.8187,97.925,-5.612,120
Northern Kentucky,184,0.4586184,107.8188,109.4185,-8.8192,192
Northwestern,65,0.790265,116.173,103.573,-3.994,94
Northwestern St.,299,0.2270299,101.9302,113.3264,-15.3308,308
Notre Dame,96,0.688796,115.776,108.0154,-4.9104,104
Oakland,179,0.4718179,114.193,115.23,-8.418,180
Ohio,222,0.3795222,108.318,113.0258,-10.723,230
Ohio State,26,0.904726,124.518,102.457,1.937,37
Oklahoma,46,0.846846,124.32,107.1134,-1.567,67
Oklahoma State,87,0.726687,116.272,106.7122,-0.4956,56
Old Dominion,235,0.3415235,106.4228,112.7251,-15.4313,313
Oral Roberts,304,0.2196304,102.2297,114.1281,-17.6342,342
Oregon,90,0.70859,111.4125,103.267,-5.9127,127
Oregon St.,166,0.4960166,109.6157,109.8194,-7.4155,155
Pacific vs. 104 Seattle,106,0.6629106,110.6139,104.384,-6.714,140
Penn,156,0.5174156,107.0213,106.3116,-6.4137,137
Penn St.,137,0.5716137,115.381,112.4245,-6.013,130
Pepperdine,261,0.3068261,105.6239,113.4266,-15.1303,303
Pittsburgh,109,0.6558109,111.712,105.7102,-7.5162,162
Portland St.,145,0.5328145,103.3279,102.252,-5.5118,118
Portland vs. 126 San Francisco,182,0.4608182,106.7216,108.2159,-9.7212,212
Prairie View A&M,317,0.2044317,101.1311,113.8275,-12.8269,269
Presbyterian vs. 167 Winthrop,281,0.2583281,103.0284,112.9257,-12.8272,272
Princeton,239,0.3335239,106.3231,112.9255,-14.3294,294
Providence,70,0.76677,121.835,109.8195,-4.7102,102
Purdue,8,0.95648,130.82,100.031,7.09,9
Purdue Fort Wayne,267,0.2956267,105.2249,113.4267,-9.2203,203
Queens vs. 154 Austin Peay,209,0.4187209,113.994,117.2316,-7.215,150
Quinnipiac vs. 199 Marist,217,0.3910217,103.6272,107.7144,-7.8167,167
Radford,241,0.3327241,106.7218,113.3265,-11.725,250
Rhode Island,141,0.5435141,105.2247,103.777,-7.9169,169
Rice,214,0.4025214,109.2167,113.0259,-12.2259,259
Richmond,172,0.4879172,109.7156,110.12,-9.3204,204
Rider,357,0.0730357,96.7349,120.735,-19.7356,356
Robert Morris,150,0.527315,110.4144,109.4186,-5.8126,126
Rutgers,127,0.5942127,111.9116,108.3163,-5.6119,119
SIU Edwardsville,257,0.3095257,99.2337,106.4117,-10.6226,226
Sacramento Saint vs. 160 Idaho,259,0.3080259,107.4202,115.2298,-13.9288,288
Sacred Heart,293,0.2357293,107.1208,118.7338,-15.2306,306
Saint Bonaventure,170,0.488117,113.697,114.028,-8.8188,188
Saint Francis,351,0.0964351,100.7316,122.4358,-19.4354,354
Saint Johns,21,0.926821,119.048,95.414,5.716,16
Saint Josephs,95,0.688895,107.5197,100.437,-3.892,92
Saint Louis,34,0.887034,121.238,101.344,2.83,30
Saint Marys,23,0.910223,119.645,97.823,4.421,21
Saint Peters,238,0.3381238,103.4276,109.7192,-8.4181,181
Saint Thomas vs. 272 North Dakota,107,0.6602107,114.788,108.2161,-4.097,97
Sam Houston State,102,0.6755102,115.183,108.0156,-4.096,96
Samford vs. 202 Furman,233,0.3471233,107.6192,113.7272,-8.9193,193
San Diego,213,0.4063213,108.7173,112.324,-13.4281,281
San Diego St.,44,0.856244,113.599,97.219,-0.4455,55
San Francisco vs. 182 Portland,126,0.5967126,113.0108,109.2183,-6.2133,133
San Jose State,220,0.383122,111.213,115.9303,-12.9273,273
Santa Clara,31,0.891031,123.622,102.963,1.64,39
Seattle vs. 106 Pacific,104,0.6706104,102.9285,96.718,-4.699,100
Seton Hall,61,0.796661,108.5177,96.417,-0.3053,53
Siena vs. 276 Mount Saint Marys,211,0.4152211,107.4198,110.7211,-8.017,170
South Alabama,193,0.4391193,107.1209,109.4187,-7.5157,157
South Carolina,105,0.6674105,111.9118,105.398,-6.1131,131
