team,bpi_rank,bpi_rating
Abilene Christian,268,NA
Air Force,349,NA
Akron,85,NA
Alabama,18,NA
Alabama A&M,340,NA
Alabama State,318,NA
Alcorn State,357,NA
American University,204,NA
App State,171,NA
Arizona,4,12
Arizona State,105,12
Arkansas,25,NA
Arkansas State,142,NA
Arkansas-Pine Bluff,332,NA
Army,333,NA
Auburn,24,NA
Austin Peay,166,NA
BYU,13,12
Ball State,269,NA
Baylor,44,12
Bellarmine,321,NA
Belmont,100,NA
Bethune-Cookman,257,NA
Binghamton,360,NA
Boise State,93,NA
Boston College,152,NA
Boston University,259,NA
Bowling Green,128,NA
Bradley,120,NA
Brown,241,NA
Bryant,345,NA
Bucknell,336,NA
Buffalo,237,NA
Butler,48,NA
Cal Poly,293,NA
Cal State Bakersfield,297,NA
Cal State Fullerton,258,NA
Cal State Northridge,216,NA
California,82,NA
California Baptist,150,NA
Campbell,176,NA
Canisius,351,NA
Central Arkansas,245,NA
Central Connecticut,253,NA
Central Michigan,326,NA
Charleston,184,NA
Charleston Southern,247,NA
Charlotte,197,NA
Chattanooga,222,NA
Chicago State,353,NA
Cincinnati,50,12
Clemson,26,NA
Cleveland State,311,NA
Coastal Carolina,252,NA
Colgate,191,NA
Colorado,92,12
Colorado State,84,NA
Columbia,163,NA
Coppin State,365,NA
Cornell,159,NA
Creighton,49,NA
Dartmouth,218,NA
Davidson,131,-10
Dayton,67,-10
DePaul,108,NA
Delaware,300,NA
Delaware State,362,NA
Denver,279,NA
Detroit Mercy,303,NA
Drake,160,NA
Drexel,208,NA
Duke,2,NA
Duquesne,137,-10
East Carolina,287,NA
East Tennessee State,133,NA
East Texas A&M,289,NA
Eastern Illinois,325,NA
Eastern Kentucky,235,NA
Eastern Michigan,212,NA
Eastern Washington,265,NA
Elon,174,NA
Evansville,283,NA
Fairfield,256,NA
Fairleigh Dickinson,330,NA
Florida,11,NA
Florida A&M,313,NA
Florida Atlantic,103,NA
Florida Gulf Coast,183,NA
Florida International,230,NA
Florida State,102,NA
Fordham,196,-10
Fresno State,156,NA
Furman,167,NA
Gardner-Webb,364,NA
George Mason,70,-10
George Washington,74,-10
Georgetown,95,NA
Georgia,32,NA
Georgia Southern,229,NA
Georgia State,275,NA
Georgia Tech,116,NA
Gonzaga,6,NA
Grambling,282,NA
Grand Canyon,91,NA
Green Bay,266,NA
Hampton,232,NA
Harvard,188,NA
Hawaii,114,NA
High Point,64,NA
Hofstra,126,NA
Holy Cross,334,NA
Houston,5,12
Houston Christian,327,NA
Howard,267,NA
IU Indianapolis,316,NA
Idaho,187,NA
Idaho State,278,NA
Illinois,10,NA
Illinois State,88,NA
Incarnate Word,213,NA
Indiana,30,NA
Indiana State,220,NA
Iona,210,NA
Iowa,27,NA
Iowa State,7,12
Jackson State,348,NA
Jacksonville,248,NA
Jacksonville State,181,NA
James Madison,201,NA
Kansas,16,12
Kansas City,347,NA
Kansas State,68,12
Kennesaw State,125,NA
Kent State,143,NA
Kentucky,22,NA
LSU,46,NA
La Salle,215,-10
Lafayette,298,NA
Lamar,219,NA
Le Moyne,285,NA
Lehigh,306,NA
Liberty,87,NA
Lindenwood,240,NA
Lipscomb,149,NA
Little Rock,302,NA
Long Beach State,274,NA
Long Island University,242,NA
Longwood,233,NA
Louisiana,322,NA
Louisiana Tech,205,NA
Louisville,9,NA
Loyola Chicago,250,-10
Loyola Maryland,314,NA
Loyola Marymount,140,NA
Maine,331,NA
Manhattan,323,NA
Marist,170,NA
Marquette,96,NA
Marshall,162,NA
Maryland,81,NA
Maryland Eastern Shore,335,NA
Massachusetts,151,NA
McNeese,62,NA
Memphis,83,NA
Mercer,145,NA
Mercyhurst,292,NA
Merrimack,227,NA
Miami,43,NA
Miami OH,90,NA
Michigan,3,NA
Michigan State,14,NA
Middle Tennessee,138,NA
Milwaukee,207,NA
Minnesota,73,NA
Mississippi State,63,NA
Mississippi Valley State,366,NA
Missouri,45,NA
Missouri State,223,NA
Monmouth,194,NA
Montana,198,NA
Montana State,157,NA
Morehead State,301,NA
Morgan State,359,NA
Mount Saint Marys,290,NA
Murray State,99,NA
