kenpom_rank,team,conference,record,adjem,adjoe,adjde,adjt,luck
245,Abilene Christian,WAC,14-19,-6.62,101.2,312,107.8,140
345,Air Force,MWC,3-29,-19.73,95.9,352,115.6,301
71,Akron,MAC,29-6,11.94,118.9,53,106.9,126
12,Alabama,SEC,25-10,27.22,129.7,3,102.5,61
304,Alabama A&M,SWAC,18-15,-12.61,104.1,271,116.7,314
318,Alabama St.,SWAC,10-22,-14.3,99.4,336,113.7,267
322,Albany,AE,11-21,-14.92,103.3,283,118.3,332
346,Alcorn St.,SWAC,9-23,-20.03,96.5,349,116.6,312
241,American,PL,16-16,-6.48,105.6,242,112.1,235
195,Appalachian St.,SB,19-13,-2.31,106,232,108.3,146
2,Arizona,B12,36-3,38.06,128.1,5,90,2
66,Arizona St.,B12,17-16,12.4,116,77,103.6,70
18,Arkansas,SEC,28-9,25.47,127.9,7,102.4,60
313,Arkansas Pine Bluff,SWAC,13-19,-13.21,104.2,269,117.4,321
147,Arkansas St.,SB,20-12,1.28,110.7,146,109.4,178
339,Army,PL,11-21,-18.58,100.1,324,118.7,335
36,Auburn,SEC,22-16,19.2,125.2,11,106,109
172,Austin Peay,ASun,22-9,-0.31,108.2,186,108.5,150
24,BYU,B12,23-12,22.78,125.1,12,102.3,59
296,Ball St.,MAC,12-19,-11.52,98.5,339,110.1,192
50,Baylor,B12,17-17,16.24,122,30,105.8,103
278,Bellarmine,ASun,13-19,-9.74,116.5,72,126.3,365
69,Belmont,MVC,26-6,11.96,120.6,38,108.6,156
240,Bethune Cookman,SWAC,17-15,-6.47,103.7,277,110.2,196
359,Binghamton,AE,8-23,-25.51,97.7,343,123.2,361
59,Boise St.,MWC,20-12,13.49,117.4,65,103.9,76
158,Boston College,ACC,11-20,0.78,103.7,278,102.9,64
262,Boston University,PL,17-17,-8.17,111.8,125,120,348
144,Bowling Green,MAC,18-14,1.36,107.3,210,105.9,107
131,Bradley,MVC,21-13,2.99,111.9,121,108.9,165
289,Brown,Ivy,9-18,-10.94,98,342,108.9,163
355,Bryant,AE,9-22,-22.96,96.7,347,119.7,345
331,Bucknell,PL,10-23,-16.77,98.2,340,114.9,290
203,Buffalo,MAC,17-15,-2.93,112.5,116,115.4,298
84,Butler,BE,16-16,9.8,116.3,74,106.5,119
178,CSUN,BW,20-14,-0.68,108.9,179,109.6,183
105,Cal Baptist,WAC,25-9,6.08,107.8,199,101.7,50
214,Cal Poly,BW,14-19,-3.89,109.4,165,113.3,258
327,Cal St. Bakersfield,BW,8-24,-15.54,101.9,304,117.4,323
170,Cal St. Fullerton,BW,18-16,0.02,109.3,169,109.3,176
75,California,ACC,22-12,11.06,114.5,88,103.5,68
185,Campbell,CAA,16-18,-1.7,111.2,135,112.9,251
342,Canisius,MAAC,10-21,-18.94,95.5,355,114.4,280
151,Central Arkansas,ASun,22-12,1.15,110.2,152,109,166
